Time,Initial_ratio_Triple,Treatment,Replicate,Ratio_startcycle,Triple,G238S,Ratio,CTX,Unique_code
0,0.1,0.2,1,0.1,,,0.1,12.5,0.1_12.5_T0_Repl1
0,0.1,0.2,2,0.1,,,0.1,12.5,0.1_12.5_T0_Repl2
0,0.1,0.2,3,0.1,,,0.1,12.5,0.1_12.5_T0_Repl3
0,0.1,0.2,4,0.1,,,0.1,12.5,0.1_12.5_T0_Repl4
0,0.1,0.2,5,0.1,,,0.1,12.5,0.1_12.5_T0_Repl5
0,0.1,0.2,6,0.1,,,0.1,12.5,0.1_12.5_T0_Repl6
0,0.1,0.2,7,0.1,,,0.1,12.5,0.1_12.5_T0_Repl7
0,0.1,0.2,8,0.1,,,0.1,12.5,0.1_12.5_T0_Repl8
0,0.1,0.43,1,0.1,,,0.1,12.5,0.1_12.5_T0_Repl1
0,0.1,0.43,2,0.1,,,0.1,12.5,0.1_12.5_T0_Repl2
0,0.1,0.43,3,0.1,,,0.1,12.5,0.1_12.5_T0_Repl3
0,0.1,0.43,4,0.1,,,0.1,12.5,0.1_12.5_T0_Repl4
0,0.1,0.43,5,0.1,,,0.1,12.5,0.1_12.5_T0_Repl5
0,0.1,0.43,6,0.1,,,0.1,12.5,0.1_12.5_T0_Repl6
0,0.1,0.43,7,0.1,,,0.1,12.5,0.1_12.5_T0_Repl7
0,0.1,0.43,8,0.1,,,0.1,12.5,0.1_12.5_T0_Repl8
0,0.1,0.93,1,0.1,,,0.1,12.5,0.1_12.5_T0_Repl1
0,0.1,0.93,2,0.1,,,0.1,12.5,0.1_12.5_T0_Repl2
0,0.1,0.93,3,0.1,,,0.1,12.5,0.1_12.5_T0_Repl3
0,0.1,0.93,4,0.1,,,0.1,12.5,0.1_12.5_T0_Repl4
0,0.1,0.93,5,0.1,,,0.1,12.5,0.1_12.5_T0_Repl5
0,0.1,0.93,6,0.1,,,0.1,12.5,0.1_12.5_T0_Repl6
0,0.1,0.93,7,0.1,,,0.1,12.5,0.1_12.5_T0_Repl7
0,0.1,0.93,8,0.1,,,0.1,12.5,0.1_12.5_T0_Repl8
0,0.1,2,1,0.1,,,0.1,12.5,0.1_12.5_T0_Repl1
0,0.1,2,2,0.1,,,0.1,12.5,0.1_12.5_T0_Repl2
0,0.1,2,3,0.1,,,0.1,12.5,0.1_12.5_T0_Repl3
0,0.1,2,4,0.1,,,0.1,12.5,0.1_12.5_T0_Repl4
0,0.1,2,5,0.1,,,0.1,12.5,0.1_12.5_T0_Repl5
0,0.1,2,6,0.1,,,0.1,12.5,0.1_12.5_T0_Repl6
0,0.1,2,7,0.1,,,0.1,12.5,0.1_12.5_T0_Repl7
0,0.1,2,8,0.1,,,0.1,12.5,0.1_12.5_T0_Repl8
0,0.5,0.2,1,0.5,,,0.5,12.5,0.5_12.5_T0_Repl1
0,0.5,0.2,2,0.5,,,0.5,12.5,0.5_12.5_T0_Repl2
0,0.5,0.2,3,0.5,,,0.5,12.5,0.5_12.5_T0_Repl3
0,0.5,0.2,4,0.5,,,0.5,12.5,0.5_12.5_T0_Repl4
0,0.5,0.2,5,0.5,,,0.5,12.5,0.5_12.5_T0_Repl5
0,0.5,0.2,6,0.5,,,0.5,12.5,0.5_12.5_T0_Repl6
0,0.5,0.2,7,0.5,,,0.5,12.5,0.5_12.5_T0_Repl7
0,0.5,0.2,8,0.5,,,0.5,12.5,0.5_12.5_T0_Repl8
0,0.5,0.43,1,0.5,,,0.5,12.5,0.5_12.5_T0_Repl1
0,0.5,0.43,2,0.5,,,0.5,12.5,0.5_12.5_T0_Repl2
0,0.5,0.43,3,0.5,,,0.5,12.5,0.5_12.5_T0_Repl3
0,0.5,0.43,4,0.5,,,0.5,12.5,0.5_12.5_T0_Repl4
0,0.5,0.43,5,0.5,,,0.5,12.5,0.5_12.5_T0_Repl5
0,0.5,0.43,6,0.5,,,0.5,12.5,0.5_12.5_T0_Repl6
0,0.5,0.43,7,0.5,,,0.5,12.5,0.5_12.5_T0_Repl7
0,0.5,0.43,8,0.5,,,0.5,12.5,0.5_12.5_T0_Repl8
0,0.5,0.93,1,0.5,,,0.5,12.5,0.5_12.5_T0_Repl1
0,0.5,0.93,2,0.5,,,0.5,12.5,0.5_12.5_T0_Repl2
0,0.5,0.93,3,0.5,,,0.5,12.5,0.5_12.5_T0_Repl3
0,0.5,0.93,4,0.5,,,0.5,12.5,0.5_12.5_T0_Repl4
0,0.5,0.93,5,0.5,,,0.5,12.5,0.5_12.5_T0_Repl5
0,0.5,0.93,6,0.5,,,0.5,12.5,0.5_12.5_T0_Repl6
0,0.5,0.93,7,0.5,,,0.5,12.5,0.5_12.5_T0_Repl7
0,0.5,0.93,8,0.5,,,0.5,12.5,0.5_12.5_T0_Repl8
0,0.5,2,1,0.5,,,0.5,12.5,0.5_12.5_T0_Repl1
0,0.5,2,2,0.5,,,0.5,12.5,0.5_12.5_T0_Repl2
0,0.5,2,3,0.5,,,0.5,12.5,0.5_12.5_T0_Repl3
0,0.5,2,4,0.5,,,0.5,12.5,0.5_12.5_T0_Repl4
0,0.5,2,5,0.5,,,0.5,12.5,0.5_12.5_T0_Repl5
0,0.5,2,6,0.5,,,0.5,12.5,0.5_12.5_T0_Repl6
0,0.5,2,7,0.5,,,0.5,12.5,0.5_12.5_T0_Repl7
0,0.5,2,8,0.5,,,0.5,12.5,0.5_12.5_T0_Repl8
0,0.9,0.2,1,0.9,,,0.9,12.5,0.9_12.5_T0_Repl1
0,0.9,0.2,2,0.9,,,0.9,12.5,0.9_12.5_T0_Repl2
0,0.9,0.2,3,0.9,,,0.9,12.5,0.9_12.5_T0_Repl3
0,0.9,0.2,4,0.9,,,0.9,12.5,0.9_12.5_T0_Repl4
0,0.9,0.2,5,0.9,,,0.9,12.5,0.9_12.5_T0_Repl5
0,0.9,0.2,6,0.9,,,0.9,12.5,0.9_12.5_T0_Repl6
0,0.9,0.2,7,0.9,,,0.9,12.5,0.9_12.5_T0_Repl7
0,0.9,0.2,8,0.9,,,0.9,12.5,0.9_12.5_T0_Repl8
0,0.9,0.43,1,0.9,,,0.9,12.5,0.9_12.5_T0_Repl1
0,0.9,0.43,2,0.9,,,0.9,12.5,0.9_12.5_T0_Repl2
